Id,source,title,article,page_rank,timestamp
5640,Yahoo,Integrity of Florida E-Voting in Doubt (AP),"AP - With polls showing nearly equal numbers of Florida voters for President Bush and Sen. John Kerry, the election's outcome may again hinge on a Florida recount. And the more that Floridians learn about how voting machines work, the more they question whether the 15 counties with paperless voting systems can accurately count and recount votes.",5,0000-00-00 00:00:00
5641,New,Waltham grad takes Bentley by storm,"Mackenzy Bernadeau, last season's football captain and team MVP at Waltham High School, is now a freshman at Bentley College, in his hometown.",5,0000-00-00 00:00:00
5642,Independent,Jeremy Warner&#39;s Outlook: No hurricane yet as IMF warns on house <b>...</b>,"The International Monetary Fund is worrying about the UK housing market again. It&#39;s been doing this for an awfully long time now, yet so far none of its doom laden warnings have come to pass.",5,0000-00-00 00:00:00
5643,New,How the runs scored,HOW THE RUNS SCORED FIRST INNING,5,2007-09-13 12:47:51
5644,Yahoo,Sierra Leone Leads World in Child Deaths,"In Sierra Leone, one in four children dies before age 5. In Iraq (news - web sites), one in 10 does not make it to a fifth birthday.",5,0000-00-00 00:00:00
5645,Channel,Pentagon withholds 15 percent of Halliburton payments,"WASHINGTON : The Pentagon will withhold 15 percent of future payments to Halliburton after accusing it of inadequate accounting for contract work in Iraq and Kuwait, the firm said. ",5,2004-08-19 06:39:13
5646,BBC,Two killed in Balochistan blast,"A bomb explosion in Pakistan's troubled Balochistan province kills at least two people, police say.",5,2006-09-08 09:23:07
5647,Yahoo,"23 combatants die in Congo clashes \
    (AP)\
","AP - Days of clashes between the army and Rwandan and Congolese militias in eastern Congo have killed at least 23 combatants and forced thousands to flee, the army and U.N. officials said Tuesday.",5,2007-02-21 07:55:38
5648,Yahoo,"Man throws red paint into Trevi Fountain \
    (AP)\
","<p><a href=""http://us.rd.yahoo.com/dailynews/rss/europe/*http://news.yahoo.com/s/ap/20071019/ap_on_re_eu/italy_trevi_fountain""><img src=""http://d.yimg.com/us.yimg.com/p/ap/20071019/capt.69ccb8b041874cbfaa5721784d27c5f1.italy_red_trevi_fountain_xgb103.jpg?x=130&y=86&sig=lLjb3824AIDAdkJBlK88hQ--"" align=""left"" height=""86"" width=""130"" alt=""The water of the Trevi fountain turns red after an unidentified man reportedly dumped red dye into it and ran away, in Rome, Friday, Oct. 19, 2007. (AP Photo/Gregorio Borgia)"" border=""0"" /></a>AP - A man threw a bucket of red paint or dye into Rome's Trevi Fountain on Friday, coloring the waters of the 18th century monument bright red in front of a crowd of astonished tourists and locals, witnesses said.</p><br clear=""all""/>",5,2007-10-19 20:54:39
5649,Hindustan,PM arrives for India-EU summit,Prime Minister Manmohan Singh arrived on Sunday night to participate in the India-European Union summit during which a proposal for a strategic partnership will be finalized.,5,0000-00-00 00:00:00
5650,Turkish,US economy grows 3.7 percent in third quarter,"WASHINGTON, Oct 29 (AFP) - The US economy grew at a 3.7 percent annual pace in the third quarter, the government said Friday, unleashing a last-gasp scrap in the lock-tight, four-day race to the White House.",5,2004-10-29 18:35:59
5651,Topix.Net,Swedish R&D Institute Tests Mintera's 40 Gbps Wavelengths,"Acreo, a leading Swedish research and development institute operating the National Broadband Test-bed, is using Mintera's platform to integrate 40 Gbps wavelengths on a 2.5 Gbps line system over 820 km of ...",5,0000-00-00 00:00:00
5652,BBC,Red Baron heiress killed parents,A descendant of German World War I flying ace the Red Baron is jailed in Brazil for killing her wealthy parents.,5,2006-07-23 07:18:41
5653,Stars,Army investigating why 19 failed to report for fueling convoy in <b>...</b>,"LSA ANACONDA, Iraq - Army investigators are trying to determine why 19 soldiers from a fuel platoon failed to appear for a convoy mission Wednesday at Tallil Air Base in southern Iraq.",5,0000-00-00 00:00:00
5654,BBC,Storms batter Cornish coastline,"\
Flooding causes chaos for homeowners all along Cornwall's south coast as 80mph winds hit land.",5,0000-00-00 00:00:00
5655,Yahoo,"McNabb, Curtis power Eagles past Lions \
    (AP)\
","<p><a href=""http://us.rd.yahoo.com/dailynews/rss/sports/*http://news.yahoo.com/s/ap/20070923/ap_on_sp_fo_ga_su/fbn_lions_eagles""><img src=""http://d.yimg.com/us.yimg.com/p/ap/20070923/capt.67c4a79095d44b72b1c70db5f0acb42c.lions_eagles_football_park109.jpg?x=89&y=130&sig=HrJm4caBElPZdWi2AbPCdQ--"" align=""left"" height=""130"" width=""89"" alt=""Philadelphia Eagles quarterback Donovan McNabb throws a touchdown pass to Kevin Curtis against the Detroit Lions in first  half of an NFL football game Sunday, Sept. 23, 2007, in Philadelphia. The Eagles won 56-21. (AP Photo/Rusty Kennedy)"" border=""0"" /></a>AP - Donovan McNabb stood on the sideline and watched Kevin Kolb lead the offense for the first time.</p><br clear=""all""/>",5,2007-09-24 01:17:54
5656,Yahoo,"Nasrallah says Hezbollah leadership intact \
    (AP)\
","<p><a href=""http://us.rd.yahoo.com/dailynews/rss/world/*http://news.yahoo.com/s/ap/20060720/ap_on_re_mi_ea/mideast_fighting_nasrallah""><img src=""http://d.yimg.com/us.yimg.com/p/ap/20060720/capt.74cb42da833f49ec9cbcc9429c336d87.mideast_israel_lebanon_jrl146.jpg?x=130&y=75&sig=xfuW1038I4tEjF0bWKZ.oA--"" align=""left"" height=""75"" width=""130"" alt=""An Israeli F-16 fighter jet lands after a mission in Lebanon at the Ramat David air force base in northern Israel,  Thursday, July 20, 2006. Israeli warplanes launched new airstrikes on Beirut's southern suburbs, a Hezbollah stronghold, shortly after daybreak Thursday, followed by strikes in the guerrillas' heartland in the south and eastern Bekaa Valley. (AP Photo/Baz Ratner)"" border=""0"" /></a>AP - Hezbollah leader Sheik Hassan Nasrallah said Thursday that the group's leadership remains intact, appearing an interview on Al-Jazeera a day after Israel said it bombed a bunker where he may have been hiding.</p><br clear=""all""/>",5,2006-07-20 23:47:19
5657,Yahoo,Ryder Cup Will Be All Over Television (AP),"AP - TV viewers who became accustomed to the around-the-clock coverage of the Olympics should like this starting Friday: All Ryder Cup, all the time.",5,0000-00-00 00:00:00
5658,BBC,What can be done about yob culture?,Experts are to encourage local authorities to toughen up their approach to tackling anti-social behaviour.  Is this the right way to tackle yob culture?,5,0000-00-00 00:00:00
5659,Reuters,"India police probe link between mosque, rail bombs"," MALEGAON, India (Reuters) - Indian police said on Sunday   they were questioning several people in connection with blasts   that killed 32 people in a western town and were investigating   possible links with train bombings in Mumbai in July.",5,2006-09-10 08:43:05
5660,Yahoo,Teen Web Editor Drives Apple to Court Action (washingtonpost.com),"washingtonpost.com - CAMBRIDGE, Mass. -- Nicholas M. Ciarelli was not even old enough to shave when he started getting under Apple Computer Inc.'s skin.",5,0000-00-00 00:00:00
5661,Washington,Explosion Kills Four in Tel Aviv Market,"TEL AVIV, Israel - An explosion went off Monday in a crowded open-air market in Tel Aviv, and a TV report said at least four people were killed.",5,0000-00-00 00:00:00
5662,Business,Snow urges faster growth in eurozone,"Sluggish growth in the eurozone is holding back the global economy, according to the US Treasury Secretary John Snow. Speaking during a visit to Dublin, he said the zone was growing at &quot;below its potential ",5,2004-11-16 10:31:53
5663,CNET,Two in three retail PCs are notebooks,"Black Friday showed consumers are largely fed up with desktops, and more data reveals the laptop preference has grown. ",3,2006-12-20 01:56:15
5664,Yahoo,"Medicare to reduce U.S. payments for anemia drugs \
    (Reuters)\
","Reuters - The U.S. Medicare health insurance \
program said on Friday it would reduce payments for anemia \
drugs when used to treat elderly and disabled patients who are \
undergoing kidney dialysis.",5,2007-07-20 23:52:29
5665,New,Greater Boston League,"ARLINGTON Coach: Dan Hirsch (third year, 9-11). Last year's record: 4-6. Playing surface : Artificial turf. Football website: MIAA.net. Strengths: Offseason commitment, size on offensive and defensive lines. Concern: Team speed. Outlook: Senior John Reardon is back, and Hirsch is happy to have a tested quarterback. ""John's our field general and he will lead our offense again this season,"" Reardon ...",5,2007-08-29 15:18:57
5666,Reuters,Dollar Keeps Gains Ahead of U.S. Jobs Data," TOKYO (Reuters) - The dollar held on to overnight gains  against the euro and the yen on Wednesday ahead of upcoming  U.S. employment figures, but few in the market see an early end  to the U.S. currency's downtrend.",5,0000-00-00 00:00:00
5667,Yahoo,Janco Partners Initiates Google with 'Sell' Rating (Reuters),"Reuters - Janco Partners on Thursday\
initiated coverage of Google Inc. with a ""sell"" rating and a\
target price of &#36;76, saying while the world's No. 1 Web search\
provider's fundamentals are strong, its current stock valuation\
is too high.",5,0000-00-00 00:00:00
5668,USA,Medicine in 2004: Proceed with caution,The year in medicine can be summed up best as the year Americans increasingly were forced to peer into their medicine cabinets with a wary eye.,5,0000-00-00 00:00:00
5669,Yahoo,"Directors, Hollywood studios reach deal \
    (AP)\
","<p><a href=""http://us.rd.yahoo.com/dailynews/rss/entertainment/*http://news.yahoo.com/s/ap/20080118/ap_en_mo/hollywood_labor""><img src=""http://d.yimg.com/us.yimg.com/p/ap/20080114/capt.97f5ee5a481e4a9dbc3b696a00fd5223.hollywood_labor_carf108.jpg?x=130&y=86&q=85&sig=2QDflPXj4YD9RB4TYpqW.Q--"" align=""left"" height=""86"" width=""130"" alt=""Striking film and television writers picket outside Warner Brothers Studios Monday, Jan. 14, 2008, in Burbank, Calif. (AP Photo/Ric Francis)"" border=""0"" /></a>AP - Hollywood directors reached a tentative contract deal Thursday with studios, a development that could turn up the pressure on striking writers to settle their 2-month-old walkout that has idled production on dozens of TV shows.</p><br clear=""all""/>",5,2008-01-18 02:40:39
5670,Yahoo,"Pats beat weather, Jets to move to 14-0 \
    (AP)\
","<p><a href=""http://us.rd.yahoo.com/dailynews/rss/sports/*http://news.yahoo.com/s/ap/20071216/ap_on_sp_fo_ga_su/fbn_jets_patriots""><img src=""http://d.yimg.com/us.yimg.com/p/ap/20071216/capt.044d3d52bb8c4c5a888f4efdc42be605.jets_patriots_football_mawt110.jpg?x=89&y=130&sig=jltTqTNuw5Z7bDDXP.ySJQ--"" align=""left"" height=""130"" width=""89"" alt=""New England Patriots quarterback Tom Brady celebrates a second-quarter touchdown during their 20-10 win over the New York Jets in a football game at Gillette Stadium in Foxborough, Mass., Sunday, Dec. 16, 2007. (AP Photo/Winslow Townson)"" border=""0"" /></a>AP - Bad weather couldn't stop the Patriots' march toward an undefeated season. Neither could the New York Jets. Facing rain, wind and chilly gusts above 20 mph, New England and Tom Brady found a new way to win Â running and eating up the clock Â and beat the New York Jets 20-10 Sunday in the Spygate rematch.</p><br clear=""all""/>",5,2007-12-16 23:41:41
5671,RTE,Love to stand trial for alleged assault,Courtney Love has been ordered to stand trial in Los Angeles on a charge of assault with a deadly weapon. This charge arose from an incident at Love&#39;s ex-boyfriend James Barber&#39;s house in April when the singer ,5,2004-10-29 11:20:16
5672,Yahoo,Chicago Mayor's Son Enlists in Army at 29 (AP),"AP - Mayor Richard Daley's son, whose name and MBA from one of the nation's most prestigious universities would have opened doors to a lucrative career, has instead joined the Army and could be sent off to the battlefields of Iraq or Afghanistan.",5,2004-12-01 19:03:04
5673,Malaysia,Thais confirm woman has bird flu,"Thailand announced Monday that a 32-year-old woman is suffering from bird flu, the second person infected with the disease since the country&#39;s latest outbreak surfaced in July.",5,0000-00-00 00:00:00
5674,Houston,Sales of rebuilt toner cartridges OK&#39;d,An appeals court lifted a ban on sales of rebuilt toner cartridges that compete with Lexmark International products in a ruling that may thwart attempts by manufacturers to control the market for replacement parts.,5,0000-00-00 00:00:00
5675,p2pnet.net,Yahoo buys email search co,"Revenues were $907 million for the third quarter of 2004, a 154% increase compared to $357 million for the same period of 2003, it says.",5,0000-00-00 00:00:00
5676,Yahoo,"Prosecutor: Girl killed by 17-year-old \
    (AP)\
","<p><a href=""http://us.rd.yahoo.com/dailynews/rss/us/*http://news.yahoo.com/s/ap/20071023/ap_on_re_us/girl_stabbed""><img src=""http://d.yimg.com/us.yimg.com/p/ap/20071022/capt.17435b30a7d7490a92371af15a4422a6.girl_stabbed_cd105.jpg?x=106&y=130&sig=Hd_BGwTN7zz7UpLeOimuYg--"" align=""left"" height=""130"" width=""106"" alt=""This photo released by the Cleveland Police Department shows Annetta Holliman who, along with two others, was arrested for investigation of felonious assault in the attack on one of Demesha Sharp's companions. Sharp, 15, was stabbed Friday night at a street corner on the city's east side when she, her siblings and friends were attacked as they headed to a bus stop. (AP Photo/Cleveland Police Department)"" border=""0"" /></a>AP - A 15-year-old girl was stabbed to death during an attack by a 17-year-old girl and the older teenager's family members, police said.</p><br clear=""all""/>",5,2007-10-23 05:59:38
5677,Reuters,Oil steadies at $64," LONDON (Reuters) - Oil paused on Wednesday from its run of   heavy losses, shrugging off rising U.S. fuel stocks as world   powers differed over whether to punish Iran for its atomic work   and oil workers in Nigeria began a three-day strike.",5,2006-09-13 18:38:08
5678,SecurityFocus,News: World's largest ID theft felon faces 14 years' jail,"A former New York computer help desk technician yesterday pleaded guilty to playing a key part in what prosecutors reckon is the largest identity theft case to date.\
",5,0000-00-00 00:00:00
5679,New,Singapore: Temasek Raises Stake,"Temasek Holdings, the biggest shareholder in Standard Chartered, increased its stake in the British bank to 18 percent, increasing the financial services investments in its $100 billion portfolio. Temasek bought 12 million shares of Standard Chartered, raising its holding by one percentage point, the bank said in a filing. Standard Chartered gets most of its profit from Asia and spent more than $2.7 billion since 2006 on acquisitions, including Hsinchu International Bank in Taiwan and Union Bank Ltd. in Pakistan. The shares purchased by Temasek, worth Â£220 million ($436 million), lift the total holding to 253.7 million shares.",5,2007-12-25 08:41:42
5680,BBC,Parmalat boasts doubled profits,"Parmalat, the food group\
at the centre of one of Europe's most painful scandals, reports a surge in profits.",5,2005-02-04 02:56:13
5681,New,Goebel nothing short of brilliant,"Tim Goebel had been up since 2 a.m., grieving for good friend Angela Nikodinov, dogged by the memory of a lost year, antsy about putting his world back on its axis. Given all that was swirling through his curly head yesterday, a few minutes alone on the Rose Garden ice was a welcome refuge.",5,0000-00-00 00:00:00
5682,Boston,Williams Spurns Longshot Chance at Making Yanksâ Roster,"Meeting with reporters before a benefit concert on Friday night, Bernie Williams said that he would not accept the Yankeesâ current offer to come to spring training on a minor league contract.",5,2007-02-10 06:41:53
5683,Yahoo,Convention Protesters Eager to Begin (AP),"AP - Jason Flores-Williams may despise President Bush, but he can't wait for him and his party to get here.",5,0000-00-00 00:00:00
5684,Reuters,Russia's new PM could become president: speaker,"MOSCOW (Reuters) - Russia's new prime minister, Viktor Zubkov, could become president in 2008 and Vladimir Putin should return to office in 2012, the head of Russia's upper house of parliament said on Tuesday.",5,2007-09-25 23:01:58
5685,Melbourne,CBA eager to explore China plan,COMMONWEALTH Bank has now dipped nearly a whole foot in China&#39;s waters after yesterday confirming advanced talks on a new banking deal.,5,0000-00-00 00:00:00
5686,Yahoo,Romanians vote for new president to succeed Iliescu (AFP),AFP - Nearly 18 million Romanians are eligible to vote Sunday in the first round of a presidential election to replace Ion Iliescu and lead the former communist state into the European Union.,5,0000-00-00 00:00:00
5687,CNN,Ban extended at flu vaccine plant,The UK government has extended by three months a ban on the production of influenza vaccine at Chiron Corp.&#39;s plant in Britain.,5,2004-12-09 23:39:05
5688,RedNova,Trucker Wants Name to Be Ynot Bubba,"LAS CRUCES, N.M. - Justin Brady's friends call him Bubba, so he figured why not ask a judge to change it legally. He wants to be known as Ynot Bubba. ""It's just a name,"" Brady, 43, said in a telephone interview from Alabama, where he was on the road. ""I want my name to (be) ...",4,2007-03-14 03:43:11
5689,Motley,Opening the Lions' Floodgates,Independent film producer and distributor Lions Gate has a roaring second quarter.,5,0000-00-00 00:00:00
5690,Time,'Naked' Rebel Confesses to Deaths,"One of Liberia's most notorious rebels, known as Gen. Butt Naked for charging into battle wearing only boots, has returned to confess his role in terrorizing the nation<img src=""http://feeds.feedburner.com/~r/time/topstories/~4/220585086"" height=""1"" width=""1""/>",5,2008-01-22 00:28:11
5691,Yahoo,Europe's largest casino awards record amount of prize money last month (AFP),"AFP - Portugal's Casino Estoril, which bills itself as Europe's largest casino, siad it awarded a record 32.3 million euros (41.9 million dollars) in prize money in January.",5,0000-00-00 00:00:00
5692,New,Some Lenders Are Setting Rates College by College,"The practice is compared to redlining in the mortgage industry, but some bankers defend it as a way to assess young borrowers with little credit history. ",5,2007-06-19 10:36:19
5693,Yahoo,Inmates Hospitalized After Standoff (AP),"AP - A SWAT team stormed the Bay County Jail on Monday to end an 11-hour hostage standoff, injuring one hostage and three inmates, authorities said. An undetermined number of other employees were freed.",5,2004-09-07 01:24:58
5694,Yahoo,"Swiss drugmaker Novartis to cut 2,500 jobs \
    (AFP)\
","<p><a href=""http://us.rd.yahoo.com/dailynews/rss/europe/*http://news.yahoo.com/s/afp/20071213/bs_afp/switzerlandpharmacompanystructurecutsnovartis""><img src=""http://d.yimg.com/us.yimg.com/p/afp/20071213/capt.sge.jyt59.131207165505.photo00.photo.default-512x339.jpg?x=130&y=86&sig=aJSca5.nQ2l4VpNnmT2Ziw--"" align=""left"" height=""86"" width=""130"" alt=""The Novartis headquarters in Basel, Switzerland. Swiss drugmaker Novartis has said it plans to cut 2,500 jobs in a restructuring programme aimed at generating yearly cost savings of 1.6 billion dollars (1.1 billion euros).(AFP/KEYSTONE/File)"" border=""0"" /></a>AFP - Swiss drugmaker Novartis said Thursday it plans to cut 2,500 jobs in a restructuring programme aimed at generating yearly cost savings of 1.6 billion dollars (1.1 billion euros).</p><br clear=""all""/>",5,2007-12-13 18:41:08
5695,Newsday,Maker adds new warning,The maker of a controversial pill used after sexual intercourse to prevent pregnancy - and linked to the death of a California teenager - is adding a new warning to the pill label indicating it can lead to serious bacterial infections.,5,2004-11-16 15:03:12
5696,New,NZ stocks: All eyes on crude,"As oil prices continue to soar, the effect on United States corporate earnings will be under scrutiny this week. US stocks posted modest gains on Friday after Federal Reserve chairman Alan Greenspan ",5,0000-00-00 00:00:00
5697,Topix.Net,Rainer Mitze's Cooking College in Malta,Popular German TV cook Rainer Mitze opened the doors of his Maltese Cooking College at Ir-Razzett L-Antik in Qormi on 28th September.,5,0000-00-00 00:00:00
5698,Ananova,Shares: Global Markets Rally After Rate Cut,\N,5,2008-01-23 12:09:00
5699,Reuters,Muslim rebels kill 5 police in Kashmir gunbattle,"A Muslim rebel attack on an Indian Kashmir police camp left five police and one rebel dead in the region&#39;s biggest raid since Pakistan Prime Minister Shaukat Aziz visited India last month, police said on Saturday.",5,0000-00-00 00:00:00
5700,Reuters,Singapore not aiming for control of UBS: report,"ZURICH (Reuters) - The Singapore government, which recently bought a 9 percent stake in UBS, does not aim for operational control over the Swiss bank, a Swiss newspaper reported on Sunday.",5,2007-12-30 12:35:42
5701,BBC,Russian serial killer convicted,Russian shop assistant Alexander Pichushkin is found guilty of 48 murders which he recorded on a chessboard.,5,2007-10-24 15:12:44
5702,Yahoo,"Unions call for strike in Guinea \
    (AP)\
","AP - Young men stormed the streets of Guinea, hurling rocks and setting tires ablaze as labor unions called for a strike Friday, threatening to throw the African nation into gridlock.",5,2008-01-05 01:43:08
5703,National,Sailor dies during airlift from Canadian submarine off coast of <b>...</b>,"A sailor aboard Canada&#39;s stricken submarine off Ireland has died of his injuries, Prime Minister Paul Martin said Wednesday. Martin said Lieut.",5,2004-10-07 07:16:21
5704,BBC,US urges N Korea to resume talks,"The US says it hopes North Korea will resume nuclear talks, but it rules out offering new concessions.",5,2005-02-11 06:50:38
5705,BBC,Disney launches India TV channels,Global media giant Walt Disney attempts to break into the huge children's market in India with two new TV channels.,5,0000-00-00 00:00:00
5706,Reuters,Pakistani crisis appears to ease,ISLAMABAD (Reuters) - Pakistan's political crisis appeared to stabilize on Thursday with parties looking ahead to elections in which the party of assassinated opposition leader Benazir Bhutto is set to make gains.,5,2008-01-03 14:02:14
5707,Yahoo,"Rain, wind, and snow to impact the West \
    (weather.com)\
",weather.com - ,5,2008-01-03 17:54:14
5708,BBC,Rugby: Wilkinson injury blow,Jonny Wilkinson is set to miss England's first two Six Nations games with a knee injury.,5,2005-01-09 14:33:24
5709,New,Disney Settles S.E.C. Complaint on Directors,The Securities and Exchange Commission reached a settlement with the Walt Disney Company over the company's failure to disclose relationships with board members.,5,0000-00-00 00:00:00
5710,New,The New Year Begins With a Thud,"Wall Street got off to a miserable start of the year, with all three major indexes dropping by sizable margins.",5,2008-01-06 02:05:51
5711,Washington,A Late Stage Entrance,"No longer the top gun in the Red Sox rotation, Pedro Martinez can recapture some status in Game 3 that has been lost to ineffectiveness and odd off-field behavior.",4,2004-10-26 05:13:11
5712,Yahoo,"Munch's Famous 'Scream,' 'Madonna' Stolen (AP)","AP - Armed men stormed into an art museum Sunday, threatened staff at gunpoint and stole Edvard Munch's famous paintings ""The Scream"" and ""Madonna"" before the eyes of stunned museum-goers.",5,0000-00-00 00:00:00
5713,Reuters,"'Don't Let Down Guard,' IMF Chief Warns"," WASHINGTON (Reuters) - With no major economic crises  brewing, the head of the International Monetary Fund on  Saturday urged world financial leaders to seize the period of  calm as a time to tackle weak spots in their economies.",5,0000-00-00 00:00:00
5714,BBC,Human foetus discovered in toilet,"A cleaner discovers a human foetus in a toilet at London Bridge train station, police say.",5,2007-09-07 18:49:37
5715,Reuters,Tour de France 2006 winner Landis guilty: UCI,"PARIS (Reuters) - Floyd Landis, who tested positive for the banned male hormone testosterone during his 2006 Tour de France triumph, has been found guilty of doping by a U.S. arbitration panel, cycling's governing body said on Thursday.",5,2007-09-20 21:49:05
5716,New,State of the Art: A New Generation of Digital Picture Frames,"A new line of digital picture frames features lower prices, more pixels and the inevitable glitches.",5,2008-02-07 09:12:25
5717,Reuters,N.Korea says US to remove it from terrorism list,"SEOUL (Reuters) - North Korea said on Monday the United States had agreed to remove it from its list of countries that support terrorism, a move Pyongyang has long sought to receive more aid and hopefully end its status as a global pariah.",5,2007-09-03 19:33:54
5718,EastDay.com,Several Iraqi militant groups threaten to execute 20 hostages,"Several Iraqi militant groups have threatened to execute more than 20 hostages, including three Americans and 18 Iraqi soldiers, unless their demands are met before deadlines.",5,2004-09-20 14:18:37
5719,Washington, Unmasking the Real Faces of Steroids , The Mitchell report shows that the actions of rich and dishonest men tainted their own workplace and also reverberated across the nation. ,4,2007-12-22 05:33:36
5720,BBC,Gun attack family escapes injury,Detectives question a man about a gun attack in County Down in which a baby narrowly escaped injury. ,5,0000-00-00 00:00:00
5721,New,Architectâs Plans Scrapped,Plans for a London building designed by Zaha Hadid have been dropped as a result of the credit crunch that began with the subprime mortgage collapse.,5,2008-02-15 08:12:58
5722,Reuters,Hamas storms major Fatah compound in Gaza,"GAZA (Reuters) - Hamas fighters on Thursday raised the green flags of the Islamist movement over one of the last Gaza City bastions of forces loyal to Western-backed Palestinian President Mahmoud Abbas, witnesses said.",5,2007-06-14 14:06:15
5723,International,Spotlight: Ross Klein of Starwood Hotels,\N,5,2007-12-21 23:20:11
5724,Washington,Dolphins Grab Win No. 1,"The Miami Dolphins combine a polished offensive performance with solid defense for their first triumph this season, 31-14 over the St. Louis Rams.",4,0000-00-00 00:00:00
5725,BBC,Extended delay for European lab,Nasa says work on the space shuttle's fuel sensors will delay lift-off of the Columbus lab to perhaps  February.,5,2008-01-04 01:17:52
5726,Reuters,One hurdle left between Patriots and perfect season,"FOXBOROUGH, Massachusetts (Reuters) - Only a Super Bowl XLII victory against the New York Giants now stands between the New England Patriots and a perfect, unbeaten season.",5,2008-01-22 09:42:27
5727,Sofia,Russia Leads World Praise for Bush Reelection,"Russian President Vladimir Putin was the first world leader to express tributes to George W. Bush&#39;s victory in the US presidential race, saying it meant Americans had not allowed themselves to be cowed by terrorists.",5,0000-00-00 00:00:00
5728,Sports,Vieira&#39;s blast guns down Newcastle,"Newcastle, England (Sports Network) - Patrick Vieira&#39;s dipping long-range blast just before halftime propelled Arsenal to a 1-0 win over Newcastle at St.",5,0000-00-00 00:00:00
5729,Register,AMD ATI Radeon HD 3870 X2 dual-GPU graphics card,"<h4>Do two GPUs equal double the value?</h4>\
<p><strong>Review</strong> Everything about the Sapphire ATI Radeon HD 3870 X2 graphics card is big, including the model name, so weâre going to stick to calling it the X2 here.â¦</p>",5,2008-02-04 16:12:08
5730,Yahoo,"2 charged in Laotian overthrow plot \
    (AP)\
",AP - A former Laotian military general and a former California National Guard officer were charged Monday in federal court with plotting a violent overthrow of Laos' communist government.,5,2007-06-05 03:39:18
5731,Yahoo,"Brazil shuts out US at Women's World Cup \
    (AP)\
","<p><a href=""http://us.rd.yahoo.com/dailynews/rss/sports/*http://news.yahoo.com/s/ap/20070927/ap_on_sp_so_ga_su/soc_wwcup_brazil_us""><img src=""http://d.yimg.com/us.yimg.com/p/ap/20070927/capt.5406c1ee19714dd89667c22dac528807.aptopix_china_wwcup_soccer_usa_brazil_wchan101.jpg?x=108&y=130&sig=Lh.VtedIKPMNdfd50LjcnQ--"" align=""left"" height=""130"" width=""108"" alt=""Brazil's Marta celebrates after scoring a goal against the United States in the first half  during a semifinal match of the FIFA 2007 Women's World Cup soccer tournament Sept. 27, 2007 in Hangzhou, China.  (AP Photo/Julie Jacobson)"" border=""0"" /></a>AP - The streak is over, and so is the United States' bid for a third Women's World Cup championship. Brazil and its star player Marta put on a dazzling performance against the Americans and cruised to a 4-0 victory in the semifinals Thursday, ending the U.S. unbeaten streak at 51 games and sending the Brazilians into their first title match, against Germany on Sunday.</p><br clear=""all""/>",5,2007-09-27 20:30:42
5732,RedNova,"Israelis, American Win Nobel for Chemistry","STOCKHOLM, Sweden - Israelis Aaron Ciechanover and Avram Hershko and American Irwin Rose won the 2004 Nobel Prize in chemistry Wednesday for discovering a key way cells destroy unwanted proteins - starting with a chemical ""kiss of death.""   When the process goes wrong, several hundred diseases can result, including cervical cancer and cystic fibrosis. So the work provides the basis for developing new therapies...",5,0000-00-00 00:00:00
5733,swissinfo,American hits wrong target and loses gold,Matthew Emmons is a trained accountant but he got his numbers terribly wrong at the Olympics. The American sharpshooter was just one shot away from a second Olympic gold ,5,0000-00-00 00:00:00
5734,Yahoo,"British Army depleted by long-term sick and injured: report \
    (AFP)\
","<p><a href=""http://us.rd.yahoo.com/dailynews/rss/europe/*http://news.yahoo.com/s/afp/20080204/wl_uk_afp/britainmilitarydefenceiraqafghanistan""><img src=""http://d.yimg.com/us.yimg.com/p/afp/20080204/capt.sge.flf61.040208015934.photo00.photo.default-512x381.jpg?x=130&y=96&q=85&sig=e9th5Gs1LXjUvZZGEjkrdQ--"" align=""left"" height=""96"" width=""130"" alt=""Camilla, The Duchess of Cornwall,  presents medals to British soldiers injured during their tour of duty at Bulford Camp, near Salisbury, in southern England, in December 2007. The manpower strength of the Army has been markedly depleted by sickness and injury, The Daily Telegraph reported on Monday.(AFP/WPA Pool/File/Adrian Dennis)"" border=""0"" /></a>AFP - The manpower strength of the Army has been markedly depleted by sickness and injury, The Daily Telegraph reported on Monday.</p><br clear=""all""/>",5,2008-02-04 04:59:51
5735,Register,Plea deal in 'war spamming' prosecution,Porn mails sent over Wi-Fi networks,5,0000-00-00 00:00:00
5736,Herald,Silverstone loses F1 . . . for lack of Â£8.9m,"THE British Grand Prix has been axed from the 2005 Formula One calendar by Bernie Ecclestone, the sport&#39;s supremo, after a long-standing argument with the British Racing Drivers&#39; Club and Sir Jackie Stewart, its president.",5,2004-10-01 10:47:31
